idindicador,cgrnacim,ctrmormt,pbrmivih,pcrparin,pcrperca,pcrrncpn,ptrldeng,rtrmorpu,ttdiesti,ttdnesti
cgrnacim,1.0,0.6343233492193193,-0.8849275354575596,0.21091038638997117,0.2539959479147836,0.3622291334198879,0.009188251423671587,-0.10651032372539922,-0.22201646476689665,0.07386586476736026
ctrmormt,0.6343233492193193,1.0,-0.6044290829473337,0.40088628084917155,0.4078220691003122,0.47755812269297543,0.11805577399736622,-0.08181003589198253,-0.4605698939625668,-0.20847314325062294
pbrmivih,-0.8849275354575596,-0.6044290829473337,1.0,-0.051219626456244616,0.02149652026272169,-0.04100724540783952,-0.2348053620487577,0.7447518930411684,0.08974319133595961,-0.07306290178832366
pcrparin,0.21091038638997117,0.40088628084917155,-0.051219626456244616,1.0,0.9918488505050914,0.8081123639062242,0.19835829281283754,-0.134552194238278,-0.64234143919771,-0.6596120582453249
pcrperca,0.2539959479147836,0.4078220691003122,0.02149652026272169,0.9918488505050914,1.0,0.8472004773927422,0.09332787847178844,-0.1339021398368653,-0.6577334687000226,-0.7552426527925615
pcrrncpn,0.3622291334198879,0.47755812269297543,-0.04100724540783952,0.8081123639062242,0.8472004773927422,1.0,-0.22209348355266603,-0.38011619734945057,-0.8308013818503938,-0.7580472809928522
ptrldeng,0.009188251423671587,0.11805577399736622,-0.2348053620487577,0.19835829281283754,0.09332787847178844,-0.22209348355266603,1.0,0.045202081193132716,0.10731987174449208,-0.021230535634648887
rtrmorpu,-0.10651032372539922,-0.08181003589198253,0.7447518930411684,-0.134552194238278,-0.1339021398368653,-0.38011619734945057,0.045202081193132716,1.0,0.5364881979346102,0.6661560023562879
ttdiesti,-0.22201646476689665,-0.4605698939625668,0.08974319133595961,-0.64234143919771,-0.6577334687000226,-0.8308013818503938,0.10731987174449208,0.5364881979346102,1.0,0.8944761720716978
ttdnesti,0.07386586476736026,-0.20847314325062294,-0.07306290178832366,-0.6596120582453249,-0.7552426527925615,-0.7580472809928522,-0.021230535634648887,0.6661560023562879,0.8944761720716978,1.0
