idindicador,cgrnacim,ctrmormt,pbrmivih,pcrparin,pcrperca,pcrrncpn,ptrldeng,rtrmorpu,ttdiesti,ttdnesti
cgrnacim,1.0,0.5394733527635152,-0.5302549315597302,0.26668849221839747,0.2711047887661422,0.37590571842170367,-0.027094657796479498,-0.2972132102511142,-0.22355749211294643,0.05862692652390005
ctrmormt,0.5394733527635152,1.0,-0.48721629332359206,0.3939119856055553,0.38369552407471474,0.40803889462890974,-0.12537175199762052,-0.12808993129363874,-0.44478499135613897,-0.20917259341740704
pbrmivih,-0.5302549315597302,-0.48721629332359206,1.0,-0.39004889799120407,-0.6454020027444127,-0.10615557448766334,-0.23639140411802148,0.1192339188707501,0.1398550408464674,0.20134088511004566
pcrparin,0.26668849221839747,0.3939119856055553,-0.39004889799120407,1.0,0.9935165200279487,0.8786906934743164,0.03431819864142024,-0.5424485353017002,-0.6794633507656885,-0.5247943986787573
pcrperca,0.2711047887661422,0.38369552407471474,-0.6454020027444127,0.9935165200279487,1.0,0.8737075091729819,0.027950578388364795,-0.509619224144462,-0.6487598244977251,-0.5504499612161091
pcrrncpn,0.37590571842170367,0.40803889462890974,-0.10615557448766334,0.8786906934743164,0.8737075091729819,1.0,-0.30240638608536113,-0.6711357299745249,-0.838237612905678,-0.7951390734828281
ptrldeng,-0.027094657796479498,-0.12537175199762052,-0.23639140411802148,0.03431819864142024,0.027950578388364795,-0.30240638608536113,1.0,-0.04938434310150264,0.37104259210414614,0.5746821299500611
rtrmorpu,-0.2972132102511142,-0.12808993129363874,0.1192339188707501,-0.5424485353017002,-0.509619224144462,-0.6711357299745249,-0.04938434310150264,1.0,0.6783733612733244,0.5111262617041127
ttdiesti,-0.22355749211294643,-0.44478499135613897,0.1398550408464674,-0.6794633507656885,-0.6487598244977251,-0.838237612905678,0.37104259210414614,0.6783733612733244,1.0,0.905622900629203
ttdnesti,0.05862692652390005,-0.20917259341740704,0.20134088511004566,-0.5247943986787573,-0.5504499612161091,-0.7951390734828281,0.5746821299500611,0.5111262617041127,0.905622900629203,1.0
