,iddepto,value
6035,27.0,18.36
6036,27.0,14.46
6037,2.0,19.14
6038,6.0,14.53
6039,10.0,30.6
6040,11.0,17.56
6041,14.0,25.47
6042,2.0,15.8
6043,6.0,12.56
6044,25.0,11.99
6045,21.0,24.66
6046,,11.23
6047,8.0,19.02
6048,32.0,27.16
6049,6.0,16.76
6050,6.0,28.09
6051,29.0,19.77
6052,13.0,40.62
6053,29.0,21.33
6054,29.0,16.53
6055,14.0,14.29
6056,7.0,25.32
6057,5.0,29.45
6058,27.0,11.9
6059,11.0,27.8
6060,27.0,11.35
6061,14.0,19.94
6062,21.0,19.19
6063,19.0,18.26
6064,27.0,20.25
6065,8.0,14.93
6066,8.0,20.28
6067,30.0,12.72
6068,20.0,29.54
6069,2.0,20.0
6070,21.0,31.82
6071,18.0,19.1
6072,30.0,13.37
6073,10.0,35.32
6074,14.0,26.03
6075,14.0,12.48
6076,9.0,23.17
6077,17.0,30.54
6078,,25.77
6079,14.0,16.2
6080,6.0,13.81
6081,2.0,19.17
6082,5.0,32.23
6083,12.0,19.79
6084,15.0,38.05
6085,21.0,30.72
6086,21.0,21.82
6087,15.0,31.34
6088,2.0,23.67
6089,19.0,26.07
6090,27.0,27.22
6091,2.0,13.76
6092,13.0,53.7
6093,15.0,33.21
6094,2.0,32.23
6095,29.0,25.3
6096,23.0,14.93
6097,18.0,25.54
6098,19.0,28.49
6099,5.0,20.67
6100,21.0,36.48
6101,8.0,17.39
6102,2.0,19.59
6103,2.0,22.63
6104,27.0,19.61
6105,,11.52
6106,19.0,37.06
6107,11.0,28.51
6108,2.0,14.21
6109,7.0,29.4
6110,29.0,23.22
6111,27.0,30.25
6112,30.0,13.37525693
6113,27.0,16.37
6114,25.0,14.61
6115,17.0,24.55
6116,17.0,15.38
6117,9.0,15.71
6118,16.0,29.2
6119,6.0,12.84
6120,27.0,27.1
6121,12.0,18.76
6122,2.0,10.87
6123,14.0,16.38
6124,19.0,19.36
6125,19.0,22.82
6126,2.0,15.04
6127,17.0,22.11
6128,6.0,16.85
6129,2.0,34.55
6130,6.0,21.45
6131,13.0,45.12
6132,27.0,25.24
6133,2.0,13.24
6134,17.0,18.08
6135,6.0,12.65
6136,8.0,13.1
6137,20.0,25.17
6138,29.0,28.01
6139,2.0,25.94
6140,5.0,24.01
6141,2.0,26.06
6142,14.0,11.52
6143,21.0,22.72
6144,27.0,21.16
6145,7.0,23.1
6146,2.0,14.62
6147,1.0,48.53
6148,2.0,14.6
6149,27.0,21.87
6150,15.0,39.63
6151,,15.08
6152,5.0,24.22
6153,11.0,17.55
6154,6.0,18.75
6155,14.0,12.23
6156,6.0,19.54
6157,3.0,26.35803046
6158,10.0,28.57
6159,28.0,20.93
6160,27.0,17.58
6161,24.0,11.89
6162,8.0,9.89
6163,10.0,31.04
6164,8.0,14.03
6165,4.0,28.08
6166,2.0,9.81
6167,17.0,23.74
6168,6.0,15.25
6169,11.0,30.86
6170,27.0,36.31
6171,2.0,16.36
6172,30.0,14.66
6173,9.0,22.86
6174,2.0,9.34
6175,14.0,16.1
6176,18.0,53.81
6177,6.0,33.56
6178,12.0,19.15
6179,14.0,13.43
6180,6.0,16.56
6181,3.0,25.74
6182,5.0,20.15
6183,24.0,13.99
6184,5.0,22.02
6185,8.0,15.61
6186,13.0,51.28
6187,5.0,42.67
6188,14.0,15.06
6189,,15.5
6190,2.0,16.49
6191,28.0,23.66600278
6192,21.0,30.74
6193,8.0,13.91712181
6194,31.0,52.66
6195,27.0,22.85
6196,5.0,25.88
6197,8.0,15.38
6198,,12.8
6199,27.0,19.41
6200,14.0,22.13
6201,2.0,11.75
6202,8.0,13.12
6203,5.0,36.58
6204,11.0,18.4
6205,28.0,33.04
6206,11.0,34.53
6207,2.0,15.87
6208,28.0,27.09
6209,17.0,16.59
6210,29.0,21.14
6211,2.0,9.21
6212,27.0,17.14
6213,25.0,20.59
6214,20.0,21.57
6215,21.0,21.12
6216,11.0,30.61
6217,31.0,36.44
6218,21.0,16.7
6219,14.0,13.78
6220,25.0,16.82
6221,,15.29
6222,11.0,27.17
6223,7.0,27.32
6224,2.0,46.59
6225,2.0,23.07
6226,21.0,17.64
6227,,28.89
6228,5.0,29.69
6229,2.0,21.71
6230,7.0,29.01
6231,29.0,27.97
6232,14.0,12.98
6233,1.0,91.97
6234,23.0,21.56
6235,19.0,28.49
6236,12.0,21.02
6237,2.0,15.85
6238,14.0,19.3
6239,17.0,18.64
6240,5.0,16.84
6241,20.0,30.1
6242,9.0,24.46
6243,17.0,16.36
6244,21.0,22.66
6245,6.0,18.17
6246,2.0,16.42
6247,27.0,17.61
6248,6.0,19.43
6249,27.0,19.41
6250,6.0,21.44
6251,18.0,21.85
6252,30.0,12.37
6253,30.0,30.69
6254,2.0,15.13
6255,14.0,26.03
6256,4.0,14.72
6257,11.0,32.21
6258,21.0,22.15
6259,11.0,35.3
6260,30.0,13.25
6261,14.0,13.45
6262,8.0,11.45
6263,7.0,26.28
6264,5.0,20.31
6265,18.0,22.23
6266,27.0,17.11
6267,6.0,18.08
6268,9.0,26.35
6269,14.0,13.12
6270,7.0,20.65
6271,12.0,24.03
6272,14.0,16.33
6273,14.0,18.76
6274,5.0,29.51
6275,14.0,19.17
6276,,29.28
6277,30.0,13.35
6278,29.0,24.12
6279,2.0,12.57
6280,2.0,13.69
6281,5.0,26.49
6282,1.0,56.49
6283,2.0,14.57
6284,,13.85
6285,10.0,39.07
6286,29.0,14.08
6287,19.0,16.56
6288,10.0,42.14
6289,14.0,19.7
6290,11.0,28.84
6291,21.0,14.76
6292,2.0,17.74
6293,2.0,13.84
6294,14.0,19.68
6295,8.0,19.72
6296,2.0,15.08
6297,29.0,18.79
6298,6.0,32.49
6299,2.0,15.69
6300,6.0,18.67
6301,11.0,28.08
6302,20.0,24.4
6303,28.0,17.66
6304,2.0,18.99
6305,20.0,21.4
6306,4.0,29.86
6307,20.0,21.62
6308,28.0,28.09
6309,,12.2
6310,13.0,35.31
6311,27.0,16.32
6312,15.0,38.85
6313,20.0,26.38973853
6314,14.0,18.52
6315,5.0,28.67
6316,6.0,13.04
6317,2.0,15.52
6318,6.0,18.79
6319,5.0,27.01
6320,27.0,14.84
6321,2.0,15.67
6322,6.0,20.97
6323,27.0,20.52
6324,20.0,31.45
6325,20.0,26.32
6326,6.0,12.75
6327,2.0,17.59
6328,2.0,32.21
6329,14.0,13.38
6330,6.0,25.44
6331,13.0,45.15
6332,6.0,31.5
6333,13.0,60.9
6334,14.0,13.44
6335,12.0,31.53
6336,30.0,15.31
6337,2.0,19.84
6338,7.0,38.86
6339,6.0,15.26
6340,28.0,33.69
6341,,20.65
6342,25.0,19.31
6343,6.0,16.52
6344,,13.39709367
6345,14.0,17.23
6346,7.0,25.42
6347,12.0,19.89
6348,8.0,21.98
6349,18.0,26.34
6350,12.0,24.21
6351,,11.98
6352,6.0,15.35
6353,14.0,13.96
6354,4.0,19.65
6355,4.0,33.19
6356,14.0,17.32
6357,6.0,21.33
6358,14.0,20.25
6359,6.0,22.81
6360,27.0,19.97
6361,8.0,14.61
6362,25.0,14.36526171
6363,1.0,46.89552399
6364,6.0,16.39
6365,6.0,13.3
6366,6.0,16.99
6367,2.0,19.49
6368,13.0,26.79
6369,27.0,39.21
6370,14.0,13.41
6371,28.0,19.39
6372,27.0,10.56
6373,21.0,16.22
6374,6.0,14.02
6375,5.0,29.51
6376,21.0,17.89
6377,30.0,9.4
6378,19.0,20.9
6379,5.0,45.37
6380,14.0,15.99
6381,5.0,24.12
6382,10.0,40.74
6383,21.0,16.78
6384,13.0,63.16
6385,14.0,14.16
6386,29.0,21.33
6387,2.0,13.68
6388,17.0,15.32
6389,14.0,20.69
6390,29.0,17.57
6391,27.0,17.24
6392,18.0,32.67010583
6393,13.0,27.72
6394,14.0,13.76
6395,6.0,14.54
6396,4.0,21.96
6397,29.0,17.56
6398,5.0,22.6
6399,2.0,22.32
6400,30.0,16.27
6401,7.0,19.99
6402,17.0,20.94
6403,30.0,13.67
6404,27.0,18.79
6405,32.0,32.47
6406,19.0,19.95
6407,5.0,24.01
6408,6.0,15.48
6409,2.0,19.12
