idindicador,cgrnacim,ctrmormt,pcrparin,pcrperca,pcrrncpn,rtrmorpu,ttdiesti,ttdnesti
cgrnacim,1.0,0.6099075335131352,0.13728028273989953,0.20726522802850814,0.39720995008653165,-0.2372978055411414,-0.23580636188666573,0.07418469915995735
ctrmormt,0.6099075335131352,1.0,0.332876057842024,0.34746296634347296,0.46915172925786475,-0.22342449070476722,-0.49201217685958043,-0.2865300228325391
pcrparin,0.13728028273989953,0.332876057842024,1.0,0.9811934165539479,0.6749904602588328,-0.5016394893894753,-0.5859186661691252,-0.6742482675528927
pcrperca,0.20726522802850814,0.34746296634347296,0.9811934165539479,1.0,0.7411824908931895,-0.5502813427201778,-0.5999422248709263,-0.7036096762935005
pcrrncpn,0.39720995008653165,0.46915172925786475,0.6749904602588328,0.7411824908931895,1.0,-0.7103090170906601,-0.8567703790765013,-0.7269901288615743
rtrmorpu,-0.2372978055411414,-0.22342449070476722,-0.5016394893894753,-0.5502813427201778,-0.7103090170906601,1.0,0.5706516829486313,0.6491903908284559
ttdiesti,-0.23580636188666573,-0.49201217685958043,-0.5859186661691252,-0.5999422248709263,-0.8567703790765013,0.5706516829486313,1.0,0.8510498875699276
ttdnesti,0.07418469915995735,-0.2865300228325391,-0.6742482675528927,-0.7036096762935005,-0.7269901288615743,0.6491903908284559,0.8510498875699276,1.0
