idindicador,cgrnacim,ctrmormt,pcrparin,pcrperca,pcrrncpn,rtrmorpu,ttdiesti,ttdnesti
cgrnacim,1.0,0.5754455411465768,0.17160439233134914,0.23433647030161284,0.3986250869895198,-0.08297745078683477,-0.24001132477011242,0.07411357428717644
ctrmormt,0.5754455411465768,1.0,0.36517671457982653,0.36721855484822585,0.4498362065044797,-0.041680432982879365,-0.47867411103812507,-0.28868652721214955
pcrparin,0.17160439233134914,0.36517671457982653,1.0,0.9838338421147865,0.7347299443307735,-0.023220195398576875,-0.5960319035479078,-0.5900611089831032
pcrperca,0.23433647030161284,0.36721855484822585,0.9838338421147865,1.0,0.7961977448294194,-0.051601038820779425,-0.6034665867194621,-0.6701559465716654
pcrrncpn,0.3986250869895198,0.4498362065044797,0.7347299443307735,0.7961977448294194,1.0,-0.378755712862674,-0.8250484062482889,-0.6598257248659061
rtrmorpu,-0.08297745078683477,-0.041680432982879365,-0.023220195398576875,-0.051601038820779425,-0.378755712862674,1.0,0.48431277527569716,0.6258927217969228
ttdiesti,-0.24001132477011242,-0.47867411103812507,-0.5960319035479078,-0.6034665867194621,-0.8250484062482889,0.48431277527569716,1.0,0.8340153652567066
ttdnesti,0.07411357428717644,-0.28868652721214955,-0.5900611089831032,-0.6701559465716654,-0.6598257248659061,0.6258927217969228,0.8340153652567066,1.0
