"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"1","ttdiesti",17,"huila",635,"oporapa",2005,28.29
"2","ttdiesti",30,"valle del cauca",1032,"jamundi",2005,14.9
"3","ttdiesti",27,"santander",871,"charta",2005,18.82
"4","caelacex",12,"cesar",NA,NA,2005,NA
"5","ttdiesti",10,"casanare",NA,NA,2005,29.43755402
"6","pcrparin",6,"boyaca",218,"chita",2005,90
"7","pcrparin",22,"norte de santander",799,"pamplonita",2005,91.78
"8","ttdiesti",2,"antioquia",67,"ituango",2005,31.44
"9","pcrparin",27,"santander",935,"surata",2005,66.67
"10","ttdiesti",29,"tolima",102,"san luis",2005,28.15
"11","pcrparin",2,"antioquia",79,"mutata",2005,96.57
"12","ttdiesti",14,"cundinamarca",549,"nilo",2005,22.66
"13","pcrparin",6,"boyaca",219,"chitaraque",2005,87.07
"14","ctrmormt",18,"la guajira",NA,NA,2005,15
"15","pcrparin",21,"narino",747,"magui",2005,98.57
"16","pcrparin",10,"casanare",389,"chameza",2005,100
"17","ttdiesti",27,"santander",NA,NA,2005,17.08652819
"18","ttdiesti",14,"cundinamarca",534,"jerusalen",2005,24.54
"19","pcrparin",27,"santander",348,"aguadas",2005,80.95
"20","pcrparin",14,"cundinamarca",NA,NA,2005,98.94988998
"21","pcrparin",2,"antioquia",54,"envigado",2005,100
"22","ttdiesti",9,"caqueta",378,"el paujil",2005,28.55
"23","ttdiesti",27,"santander",911,"onzaga",2005,23.5
"24","rtrmorpu",15,"guainia",NA,NA,2005,386.1
"25","ttdiesti",6,"boyaca",213,"cerinza",2005,19.37
"26","ttdiesti",21,"narino",727,"el charco",2005,36.47
"27","ttdiesti",6,"boyaca",235,"gachantiva",2005,26.53
"28","ttdiesti",19,"magdalena",NA,"nueva granada",2005,38.91
"29","rtrmorpu",16,"guaviare",NA,NA,2005,171.23
"30","pcrparin",2,"antioquia",NA,"el penol",2005,98.76
"31","pcrparin",7,"cordoba",346,"tierralta",2005,82.9
"32","ttdiesti",7,"cordoba",325,"cerete",2005,28.17
"33","ttdiesti",12,"cesar",458,"la jagua de ibirico",2005,24.78
"34","pcrparin",14,"cundinamarca",80,"narino",2005,100
"35","pcrparin",28,"sucre",208,"buenavista",2005,99.43
"36","pbepredc",7,"cordoba",NA,NA,2005,15
"37","ttdiesti",30,"valle del cauca",1013,"andalucia",2005,16.18
"38","pcrparin",19,"magdalena",NA,NA,2005,98.2275586
"39","pbepredc",21,"narino",NA,NA,2005,20
"40","pcrparin",17,"huila",642,"saladoblanco",2005,68.67
"41","pcrparin",4,"atlantico",140,"baranoa",2005,98.15
"42","ptrldeng",9,"caqueta",NA,NA,2005,NA
"43","pcrparin",19,"magdalena",669,"el pinon",2005,98.11
"44","ttdiesti",2,"antioquia",63,"guatape",2005,17.16
"45","pbretaia",24,"quindio",NA,NA,2005,NA
"46","ttdiesti",2,"antioquia",62,"guarne",2005,12.82
"47","pcrparin",2,"antioquia",117,"tarso",2005,92.22
"48","ttdiesti",27,"santander",860,"barrancabermeja",2005,16.69
"49","pbretaia",4,"atlantico",NA,NA,2005,NA
"50","ttdiesti",25,"risaralda",848,"pueblo rico",2005,29.64
"51","pcrparin",24,"quindio",835,"pijao",2005,98.95
"52","ctrmormt",31,"vaupes",NA,NA,2005,0
"53","pcrparin",6,"boyaca",256,"nobsa",2005,99.57
"54","pcrparin",6,"boyaca",250,"miraflores",2005,97.89
"55","pcrperca",3,"arauca",NA,NA,2005,79.38225457
"56","ttdiesti",22,"norte de santander",812,"villa caro",2005,29.44
"57","pbehtaco",13,"choco",NA,NA,2005,NA
"58","ttdiesti",30,"valle del cauca",1020,"calima",2005,15.9
"59","pcrparin",6,"boyaca",202,"belen",2005,98.53
"60","pcrparin",27,"santander",927,"san miguel",2005,97.92
"61","ttdiesti",9,"caqueta",NA,"solita",2005,28.33
"62","igrtgfec",30,"valle del cauca",NA,NA,2005,NA
"63","pbrmivih",8,"caldas",NA,NA,2005,NA
"64","ttdiesti",20,"meta",684,"barranca de upia",2005,28.88
"65","ttdiesti",13,"choco",472,"bahia solano",2005,38.61
"66","ttdiesti",14,"cundinamarca",604,"zipaquira",2005,13.65
"67","pcrparin",20,"meta",694,"la macarena",2005,99.3
"68","pcrparin",7,"cordoba",337,"puerto libertador",2005,97.77
"69","ttdnesti",19,"magdalena",NA,NA,2005,40.59079022
"70","ttdiesti",7,"cordoba",NA,"san jose de ure (1)",2005,28.24
"71","ttdiesti",12,"cesar",459,"la paz",2005,28.58
"72","ttdiesti",6,"boyaca",216,"chiquinquira",2005,14.66
"73","ttdiesti",6,"boyaca",266,"paya",2005,30.08
"74","pcrparin",12,"cesar",445,"aguachica",2005,91.31
"75","ttdiesti",14,"cundinamarca",571,"sibate",2005,19.85
"76","ctrmormt",16,"guaviare",NA,NA,2005,3
"77","ttdiesti",22,"norte de santander",565,"san cayetano",2005,13.36
"78","ttdiesti",14,"cundinamarca",506,"chaguani",2005,18.48
"79","pcrparin",10,"casanare",406,"yopal",2005,99.53
"80","ttdiesti",7,"cordoba",NA,"sahagun",2005,23.3
"81","ttdiesti",18,"la guajira",653,"barrancas",2005,30.92
"82","ttdiesti",19,"magdalena",682,"tenerife",2005,39.04
"83","ttdiesti",9,"caqueta",386,"solano",2005,44.21
"84","pcrparin",1,"amazonas",6,"puerto narino",2005,63.04
"85","ttdiesti",5,"bolivar",177,"margarita",2005,30.76
"86","ttdiesti",22,"norte de santander",781,"chitaga",2005,20.68
"87","ttdiesti",19,"magdalena",671,"guamal",2005,20.18
"88","ttdiesti",18,"la guajira",655,"fonseca",2005,23.4
"89","pcrparin",11,"cauca",934,"sucre",2005,80.58
"90","ttdiesti",22,"norte de santander",785,"el carmen",2005,19.71
"91","pcrparin",14,"cundinamarca",509,"choconta",2005,99.08
"92","pcrparin",9,"caqueta",382,"morelia",2005,94.03
"93","pcrparin",22,"norte de santander",783,"cucutilla",2005,85.98
"94","rgrtgfec",11,"cauca",NA,NA,2005,NA
"95","pcrrncpn",31,"vaupes",NA,NA,2005,43.47
"96","ttdiesti",23,"putumayo",NA,"mocoa",2005,20.27
"97","ttdiesti",17,"huila",625,"garzon",2005,20.41
"98","ttdiesti",6,"boyaca",264,"panqueba",2005,25.19
"99","pcrparin",6,"boyaca",249,"maripi",2005,96.43
"100","ttdiesti",6,"boyaca",199,"almeida",2005,21.34
"101","pbepredc",4,"atlantico",NA,NA,2005,9.8
"102","cgrnacim",10,"casanare",NA,NA,2005,5083
"103","pcrparin",29,"tolima",981,"falan",2005,82.67
"104","pcrparin",19,"magdalena",222,"cienaga",2005,99.79
"105","pcrparin",11,"cauca",191,"santa rosa",2005,90.91
"106","pcrparin",6,"boyaca",229,"duitama",2005,99.83
"107","pcrparin",7,"cordoba",328,"cienaga de oro",2005,99.49
"108","ttdiesti",21,"narino",759,"samaniego",2005,15.66
"109","pcrparin",21,"narino",564,"san bernardo",2005,97.12
"110","pcrparin",9,"caqueta",384,"san jose del fragua",2005,80.43
"111","ctrmormt",7,"cordoba",NA,NA,2005,7
"112","ttdiesti",2,"antioquia",113,"sonson",2005,20.89
"113","pcrparin",30,"valle del cauca",143,"candelaria",2005,98.89
"114","ttdiesti",5,"bolivar",188,"san pablo",2005,17.92
"115","ttdiesti",30,"valle del cauca",21,"argelia",2005,20
"116","pcrparin",14,"cundinamarca",514,"el penon",2005,98.28
"117","rgrtgfec",8,"caldas",NA,NA,2005,NA
"118","pbepredc",26,"san andres y providencia",NA,NA,2005,NA
"119","ttdiesti",14,"cundinamarca",565,"san cayetano",2005,21.37
"120","ttdiesti",14,"cundinamarca",503,"caparrapi",2005,29.55
"121","pcrparin",19,"magdalena",45,"concordia",2005,97.3
"122","ttdiesti",21,"narino",546,"mosquera",2005,30.66
"123","pcrparin",6,"boyaca",278,"san eduardo",2005,100
"124","pcrparin",27,"santander",874,"cimitarra",2005,81.84
"125","ttdiesti",7,"cordoba",337,"puerto libertador",2005,31.41
"126","ttdiesti",29,"tolima",978,"cunday",2005,27.07
"127","ttdiesti",30,"valle del cauca",1047,"tulua",2005,15.62
"128","pbepredc",6,"boyaca",NA,NA,2005,23.3
"129","pcrparin",29,"tolima",991,"melgar",2005,98.03
"130","pcrparin",11,"cauca",430,"piendamo",2005,96.5
"131","ttdiesti",5,"bolivar",195,"turbaco",2005,28.44
"132","ttdiesti",6,"boyaca",310,"topaga",2005,19.37
"133","pcrparin",29,"tolima",980,"espinal",2005,96.68
"134","ttdiesti",27,"santander",935,"surata",2005,27.13
"135","pcrparin",2,"antioquia",35,"campamento",2005,80.61
"136","pcrparin",10,"casanare",390,"hato corozal",2005,77.21
"137","ttdiesti",11,"cauca",411,"buenos aires",2005,33.96
"138","ttdiesti",6,"boyaca",221,"chivor",2005,19.48
"139","ttdiesti",5,"bolivar",191,"santa rosa",2005,31.4
"140","pcrparin",5,"bolivar",189,"santa catalina",2005,98.42
"141","ttdiesti",27,"santander",108,"santa barbara",2005,23.09
"142","pcrparin",18,"la guajira",661,"urumita",2005,84.38
"143","pcrparin",6,"boyaca",261,"pachavita",2005,93.75
"144","ttdiesti",21,"narino",734,"guaitarilla",2005,20.28
"145","ttdiesti",6,"boyaca",287,"santana",2005,16.63
"146","ttdiesti",2,"antioquia",118,"titiribi",2005,15.83
"147","ttdiesti",1,"amazonas",NA,"la chorrera ",2005,51.39
"148","ttdiesti",22,"norte de santander",774,"abrego",2005,18
"149","pcrparin",7,"cordoba",339,"san andres de sotavento",2005,98.16
"150","ttdiesti",6,"boyaca",225,"covarachia",2005,41.18
"151","pcrparin",10,"casanare",397,"pore",2005,97.24
"152","ttdiesti",14,"cundinamarca",572,"silvania",2005,14.73
"153","ttdiesti",21,"narino",NA,"la union",2005,21.82
"154","pcrparin",6,"boyaca",214,"chiquiza",2005,94.57
"155","pcrparin",24,"quindio",830,"circasia",2005,99.09
"156","ttdiesti",2,"antioquia",102,"san luis",2005,18.51
"157","pcrparin",6,"boyaca",297,"sora",2005,94.34
"158","ttdiesti",29,"tolima",1002,"saldana",2005,16.88
"159","pcrparin",8,"caldas",370,"victoria",2005,92.31
"160","cgrnacim",7,"cordoba",NA,NA,2005,20418
"161","ttdiesti",24,"quindio",22,"armenia",2005,12.74
"162","ttdiesti",14,"cundinamarca",564,"san bernardo",2005,12.85
"163","pcrparin",22,"norte de santander",794,"los patios",2005,99.42
"164","pbrmivih",11,"cauca",NA,NA,2005,NA
"165","ttdiesti",30,"valle del cauca",1049,"versalles",2005,18.11
"166","pcrparin",8,"caldas",364,"pensilvania",2005,97.43
"167","pcrparin",22,"norte de santander",779,"cacota",2005,100
"168","ttdiesti",28,"sucre",946,"corozal",2005,18.61
"169","pcrparin",29,"tolima",1010,"villahermosa",2005,93.79
"170","pcrparin",27,"santander",878,"coromoro",2005,86.54
"171","pcrparin",2,"antioquia",56,"frontino",2005,86.47
"172","ttdiesti",11,"cauca",438,"silvia",2005,29.03
"173","pcrparin",7,"cordoba",NA,"sahagun",2005,99.04
"174","pcrparin",23,"putumayo",98,"san francisco",2005,95.79
"175","pcrparin",30,"valle del cauca",1046,"trujillo",2005,100
"176","ttdiesti",27,"santander",514,"el penon",2005,40.59
"177","pbretaia",26,"san andres y providencia",NA,NA,2005,NA
"178","pcrparin",6,"boyaca",252,"mongui",2005,94.67
"179","pcrparin",14,"cundinamarca",549,"nilo",2005,99
"180","ttdiesti",10,"casanare",393,"monterrey",2005,26.16
"181","ttdiesti",29,"tolima",979,"dolores",2005,25.36
"182","ttdiesti",6,"boyaca",210,"combita",2005,26.17
"183","ttdiesti",19,"magdalena",NA,"el reten",2005,21.64
"184","pcrparin",1,"amazonas",1,"el encanto",2005,33.33
"185","ttdiesti",13,"choco",478,"el litoral del san juan",2005,45.11
"186","ttdiesti",27,"santander",891,"giron",2005,13.75
"187","pcrparin",14,"cundinamarca",531,"guayabal de siquima",2005,98.59
"188","caelacex",8,"caldas",NA,NA,2005,NA
"189","pcrparin",7,"cordoba",336,"puerto escondido",2005,98.83
"190","ttdiesti",28,"sucre",945,"coloso",2005,27.82
"191","ttdiesti",32,"vichada",NA,NA,2005,41.62615531
"192","pcrparin",1,"amazonas",5,"miriti-parana",2005,100
"193","pcrparin",5,"bolivar",177,"margarita",2005,89.38
"194","ttdiesti",19,"magdalena",NA,"santa marta",2005,16.07
"195","ttdiesti",2,"antioquia",61,"guadalupe",2005,25.68
"196","ttdiesti",30,"valle del cauca",1051,"yotoco",2005,18.72
"197","pcrperca",26,"san andres y providencia",NA,NA,2005,99.59100204
"198","ttdiesti",12,"cesar",447,"astrea",2005,34.84
"199","ttdiesti",22,"norte de santander",775,"arboledas",2005,14.93
"200","ttdiesti",30,"valle del cauca",1041,"roldanillo",2005,15.17
"201","pcrparin",29,"tolima",989,"lerida",2005,99.42
"202","pcrparin",27,"santander",918,"puerto parra",2005,88
"203","ttdiesti",14,"cundinamarca",519,"funza",2005,12.85
"204","ttdiesti",8,"caldas",350,"aranzazu",2005,21.24
"205","ttdiesti",6,"boyaca",300,"sutamarchan",2005,34.5
"206","ttdiesti",17,"huila",650,"timana",2005,20.61
"207","ttdiesti",6,"boyaca",321,"zetaquira",2005,25.51
"208","pcrparin",14,"cundinamarca",520,"fusagasuga",2005,99.58
"209","pcrparin",17,"huila",284,"santa maria",2005,98.58
"210","cgrnacim",30,"valle del cauca",NA,NA,2005,23295
"211","pcrparin",5,"bolivar",NA,"cartagena",2005,99.39
"212","ttdnesti",2,"antioquia",NA,NA,2005,25.13043183
"213","ttdiesti",27,"santander",928,"san vicente de chucuri",2005,18.46
"214","ttdiesti",14,"cundinamarca",535,"junin",2005,20.39
"215","rgrtgfec",19,"magdalena",NA,NA,2005,NA
"216","pcrparin",21,"narino",726,"cumbitara",2005,93.55
"217","ttdiesti",27,"santander",924,"san gil",2005,13.17
"218","pbretaia",6,"boyaca",NA,NA,2005,NA
"219","pcrperca",18,"la guajira",NA,NA,2005,94.55752599
"220","ttdiesti",16,"guaviare",613,"el retorno",2005,37.11
"221","pbepredg",15,"guainia",NA,NA,2005,NA
"222","cgrnacim",3,"arauca",NA,NA,2005,62297
"223","pcrparin",29,"tolima",995,"piedras",2005,97.01
"224","ttdiesti",14,"cundinamarca",491,"alban",2005,17.53
"225","pcrparin",8,"caldas",351,"belalcazar",2005,96.47
"226","pcrparin",22,"norte de santander",565,"san cayetano",2005,100
"227","rtrmorpu",24,"quindio",NA,NA,2005,66.68
"228","ttdiesti",30,"valle del cauca",1045,"toro",2005,16.85
"229","pcrparin",14,"cundinamarca",585,"tibacuy",2005,97.78
"230","ttdiesti",21,"narino",167,"cordoba",2005,39.24
"231","pcrparin",22,"norte de santander",NA,"la bateca",2005,90.24
"232","ttdiesti",12,"cesar",453,"el copey",2005,23.6
"233","pcrparin",7,"cordoba",344,"san pelayo",2005,98.66
"234","ttdiesti",6,"boyaca",274,"rondon",2005,19.9
"235","pcrparin",2,"antioquia",116,"taraza",2005,98.48
"236","pbehtaco",5,"bolivar",NA,NA,2005,NA
"237","pbepredc",24,"quindio",NA,NA,2005,NA
"238","pcrparin",8,"caldas",363,"palestina",2005,98.37
"239","ttdiesti",6,"boyaca",29,"briceno",2005,20.64
"240","pcrparin",21,"narino",NA,NA,2005,90.66371493
"241","pcrparin",14,"cundinamarca",573,"simijaca",2005,99.02
"242","ttdiesti",2,"antioquia",58,"giraldo",2005,34.05
"243","igrtgfec",7,"cordoba",NA,NA,2005,NA
"244","pgeembar",17,"huila",NA,NA,2005,19
"245","ttdiesti",14,"cundinamarca",524,"gama",2005,22.98
"246","pbrmivih",9,"caqueta",NA,NA,2005,NA
"247","ttdiesti",30,"valle del cauca",1029,"ginebra",2005,14.39
"248","pcrparin",27,"santander",913,"palmar",2005,100
"249","pcrparin",2,"antioquia",52,"el santuario",2005,98.81
"250","ttdnesti",11,"cauca",NA,NA,2005,63.90372979
"251","pcrparin",30,"valle del cauca",1041,"roldanillo",2005,99.81
"252","pcrparin",17,"huila",650,"timana",2005,91.78
"253","pcrparin",6,"boyaca",308,"toca",2005,96.34
"254","pbehtaco",NA,"bogota",NA,NA,2005,NA
"255","pcrparin",4,"atlantico",146,"luruaco",2005,99.44
"256","ttdiesti",28,"sucre",943,"caimito",2005,28.96
"257","ttdiesti",27,"santander",869,"cerrito",2005,25.04
"258","pcrparin",21,"narino",764,"san pedro de cartago",2005,93.14
"259","ttdiesti",14,"cundinamarca",546,"mosquera",2005,12.19
"260","pcrparin",27,"santander",877,"contratacion",2005,98.46
"261","pcrperca",27,"santander",NA,NA,2005,95.34635563
"262","ttdiesti",12,"cesar",451,"chiriguana",2005,22.32
"263","ttdiesti",21,"narino",202,"belen",2005,22.85
"264","ttdiesti",2,"antioquia",131,"yondo",2005,24.45
"265","pbepredg",12,"cesar",NA,NA,2005,NA
"266","pcrparin",19,"magdalena",680,"santa ana",2005,90.03
"267","ttdiesti",30,"valle del cauca",1053,"zarzal",2005,16.98
"268","ttdiesti",21,"narino",764,"san pedro de cartago",2005,24.91
"269","ttdiesti",2,"antioquia",11,"alejandria",2005,20.4
"270","ttdiesti",4,"atlantico",154,"repelon",2005,17.33
"271","cgrnacim",NA,"bogota",NA,NA,2005,610
"272","pcrparin",6,"boyaca",310,"topaga",2005,96.3
"273","ttdiesti",7,"cordoba",NA,NA,2005,28.1789394
"274","pcrparin",22,"norte de santander",788,"gramalote",2005,87.5
"275","ttdiesti",27,"santander",889,"guepsa",2005,24.17
"276","pbepredc",30,"valle del cauca",NA,NA,2005,NA
"277","ttdiesti",14,"cundinamarca",603,"zipacon",2005,21.12
"278","pcrparin",27,"santander",916,"pinchote",2005,100
"279","ttdiesti",14,"cundinamarca",578,"supata",2005,18.05
"280","ttdiesti",27,"santander",883,"el playon",2005,20.61
"281","pcrparin",29,"tolima",986,"honda",2005,96.82
"282","ttdiesti",5,"bolivar",178,"mompos",2005,28.38
"283","pcrparin",9,"caqueta",385,"san vicente del caguan",2005,89.2
"284","ttdiesti",12,"cesar",450,"chimichagua",2005,29.79
"285","rtrmorpu",8,"caldas",NA,NA,2005,35.51
"286","ttdiesti",27,"santander",878,"coromoro",2005,25.6
"287","ttdiesti",2,"antioquia",54,"envigado",2005,7.84
"288","pbehtaco",7,"cordoba",NA,NA,2005,NA
"289","rtrmorpu",31,"vaupes",NA,NA,2005,0
"290","ttdiesti",6,"boyaca",212,"campohermoso",2005,22.23
"291","ttdiesti",14,"cundinamarca",NA,NA,2005,15.37452093
"292","pcrparin",27,"santander",933,"suaita",2005,97.78
"293","pcrparin",6,"boyaca",312,"tunja",2005,99.63
"294","ctrmormt",1,"amazonas",NA,NA,2005,2
"295","pcrparin",14,"cundinamarca",595,"vergara",2005,94.67
"296","ptrldeng",28,"sucre",NA,NA,2005,NA
"297","pcrparin",24,"quindio",167,"cordoba",2005,97.56
"298","ttdiesti",10,"casanare",389,"chameza",2005,27.77
"299","ptrldeng",3,"arauca",NA,NA,2005,NA
"300","pcrparin",27,"santander",903,"los santos",2005,96.67
"301","ttdiesti",17,"huila",624,"elias",2005,19.71
"302","ttdiesti",21,"narino",770,"tangua",2005,25.77
"303","ttdiesti",19,"magdalena",663,"aracataca",2005,20.76
"304","ptrldeng",27,"santander",NA,NA,2005,NA
"305","pcrparin",17,"huila",639,"pitalito",2005,91.2
"306","ttdiesti",4,"atlantico",160,"suan",2005,19.89
"307","ttdiesti",18,"la guajira",460,"manaure",2005,54.38
"308","pcrparin",6,"boyaca",264,"panqueba",2005,93.75
"309","pgeembar",4,"atlantico",NA,NA,2005,13.1
"310","ttdnesti",31,"vaupes",NA,NA,2005,NA
"311","ttdiesti",2,"antioquia",96,"san andres de cuerquia",2005,19.47
"312","ttdiesti",6,"boyaca",241,"iza",2005,16.25
"313","ttdiesti",14,"cundinamarca",539,"la pena",2005,24.98
"314","ttdiesti",2,"antioquia",130,"yolombo",2005,18.23
"315","ttdiesti",19,"magdalena",678,"san sebastian de buenavista",2005,16.7
"316","pcrparin",9,"caqueta",378,"el paujil",2005,99.26
"317","ttdiesti",21,"narino",762,"san lorenzo",2005,23.26
"318","ttdiesti",12,"cesar",448,"becerril",2005,26.94
"319","pcrparin",14,"cundinamarca",517,"fuquene",2005,100
"320","pcrparin",30,"valle del cauca",1047,"tulua",2005,99.91
"321","ttdiesti",30,"valle del cauca",1022,"cartago",2005,16.25
"322","ttdiesti",18,"la guajira",661,"urumita",2005,16.82
"323","ttdiesti",17,"huila",633,"nataga",2005,20.76
"324","pcrparin",29,"tolima",NA,NA,2005,92.8096158
"325","ttdiesti",2,"antioquia",92,"rionegro",2005,10.02
"326","ttdiesti",19,"magdalena",NA,"sitionuevo",2005,32.88
"327","pcrparin",20,"meta",700,"puerto gaitan",2005,60.8
"328","pcrparin",14,"cundinamarca",503,"caparrapi",2005,97.81
"329","pcrparin",14,"cundinamarca",570,"sesquile",2005,99.02
"330","ctrmormt",26,"san andres y providencia",NA,NA,2005,0
"331","pcrparin",10,"casanare",398,"recetor",2005,100
"332","pcrparin",12,"cesar",NA,NA,2005,92.91311588
"333","pcrparin",7,"cordoba",338,"purisima",2005,97.59
"334","pcrparin",6,"boyaca",232,"firavitoba",2005,98.91
"335","ttdiesti",2,"antioquia",22,"armenia",2005,20.74
"336","pcrparin",14,"cundinamarca",525,"girardot",2005,99.52
"337","ttdiesti",13,"choco",NA,NA,2005,49.36373362
"338","ttdiesti",27,"santander",877,"contratacion",2005,21.06
"339","pcrparin",2,"antioquia",121,"uramita",2005,94.37
"340","pcrparin",17,"huila",NA,NA,2005,90.63383318
"341","ttdiesti",25,"risaralda",844,"la virginia",2005,19.37
"342","pcrparin",17,"huila",628,"hobo",2005,92.19
"343","ttdiesti",9,"caqueta",381,"milan",2005,31.92
"344","pcrparin",14,"cundinamarca",506,"chaguani",2005,97.22
"345","ttdiesti",20,"meta",690,"el dorado",2005,24.69
"346","ptrldeng",8,"caldas",NA,NA,2005,NA
"347","ttdiesti",20,"meta",700,"puerto gaitan",2005,61.35
"348","pcrperca",30,"valle del cauca",NA,NA,2005,98.32736729
"349","pcrparin",28,"sucre",945,"coloso",2005,100
"350","pcrrncpn",12,"cesar",NA,NA,2005,81.57
"351","pcrparin",6,"boyaca",274,"rondon",2005,92.59
"352","pcrparin",6,"boyaca",223,"coper",2005,87.5
"353","ttdiesti",21,"narino",728,"el rosario",2005,33.5
"354","ctrmormt",10,"casanare",NA,NA,2005,3
"355","ttdiesti",29,"tolima",974,"casabianca",2005,24.33
"356","pcrparin",25,"risaralda",849,"quinchia",2005,91.7
"357","ptrldeng",32,"vichada",NA,NA,2005,NA
"358","pcrparin",14,"cundinamarca",526,"guacheta",2005,93.02
"359","pcrparin",2,"antioquia",110,"santa rosa de osos",2005,98.71
"360","pcrparin",1,"amazonas",7,"puerto santander",2005,80
"361","ttdiesti",13,"choco",487,"sipi",2005,29.44
"362","pbehtaco",12,"cesar",NA,NA,2005,NA
"363","pcrperca",8,"caldas",NA,NA,2005,96.92449748
"364","pcrparin",14,"cundinamarca",532,"guayabetal",2005,100
"365","ttdiesti",13,"choco",481,"lloro",2005,60.96
"366","pcrparin",27,"santander",459,"la paz",2005,89.29
"367","pgeembar",12,"cesar",NA,NA,2005,27.9
"368","ttdiesti",32,"vichada",1060,"cumaribo",2005,49.97
"369","pcrparin",4,"atlantico",150,"piojo",2005,81.72
"370","ttdiesti",17,"huila",630,"isnos",2005,26.18
"371","pcrparin",6,"boyaca",255,"muzo",2005,97.14
"372","igrtgfec",13,"choco",NA,NA,2005,NA
"373","ttdiesti",27,"santander",892,"guaca",2005,22.38
"374","caelacex",1,"amazonas",NA,NA,2005,NA
"375","ttdiesti",29,"tolima",1011,"villarrica",2005,25.88
"376","ctrmormt",21,"narino",NA,NA,2005,18
"377","cgrnacim",24,"quindio",NA,NA,2005,20936
"378","ttdiesti",14,"cundinamarca",591,"ubaque",2005,15.08
"379","ttdiesti",9,"caqueta",382,"morelia",2005,22.18
"380","ttdiesti",14,"cundinamarca",600,"villeta",2005,16.47
"381","pgeembar",15,"guainia",NA,NA,2005,30.8
"382","pcrparin",28,"sucre",943,"caimito",2005,96.99
"383","ttdiesti",11,"cauca",424,"mercaderes",2005,23.84
"384","pcrrncpn",26,"san andres y providencia",NA,NA,2005,93.15
"385","pcrparin",5,"bolivar",174,"hatillo de loba",2005,94.44
"386","ttdiesti",22,"norte de santander",799,"pamplonita",2005,12.38
"387","pbehtaco",10,"casanare",NA,NA,2005,NA
"388","ttdiesti",5,"bolivar",187,"san martin de loba",2005,35.58
"389","pcrparin",27,"santander",873,"chipata",2005,98.75
"390","ttdiesti",3,"arauca",135,"cravo norte",2005,35.96
"391","pcrparin",32,"vichada",1061,"la primavera",2005,86.26
"392","pcrparin",14,"cundinamarca",580,"sutatausa",2005,100
"393","ttdiesti",21,"narino",750,"olaya herrera",2005,32.61
"394","ttdiesti",29,"tolima",997,"prado",2005,22.6
"395","ttdiesti",14,"cundinamarca",526,"guacheta",2005,18.61
"396","pcrparin",4,"atlantico",142,"campo de la cruz",2005,100
"397","ptrldeng",21,"narino",NA,NA,2005,NA
"398","ttdiesti",22,"norte de santander",796,"mutiscua",2005,17.91
"399","ttdiesti",4,"atlantico",151,"polonuevo",2005,24.87
"400","ttdiesti",27,"santander",912,"paramo",2005,16.37
"401","ttdiesti",8,"caldas",351,"belalcazar",2005,18.6
"402","pcrparin",24,"quindio",NA,NA,2005,98.51980264
"403","ttdiesti",21,"narino",715,"arboleda",2005,32.04
"404","pcrparin",29,"tolima",967,"alvarado",2005,83.78
"405","pcrparin",3,"arauca",134,"arauquita",2005,71.59
"406","pcrparin",30,"valle del cauca",1025,"el cairo",2005,99.1
"407","pcrparin",29,"tolima",978,"cunday",2005,86.13
"408","pbretaia",19,"magdalena",NA,NA,2005,NA
"409","ttdiesti",28,"sucre",953,"ovejas",2005,29.83
"410","pbrmivih",4,"atlantico",NA,NA,2005,NA
"411","pcrparin",29,"tolima",1000,"roncesvalles",2005,76.19
"412","pbretaia",8,"caldas",NA,NA,2005,NA
"413","ttdnesti",9,"caqueta",NA,NA,2005,53.03456428
"414","ttdiesti",6,"boyaca",280,"san luis de gaceno",2005,19.72
"415","pbepredc",25,"risaralda",NA,NA,2005,NA
"416","pcrparin",6,"boyaca",266,"paya",2005,64.29
"417","ttdiesti",26,"san andres y providencia",NA,NA,2005,17.73615913
"418","ttdiesti",24,"quindio",829,"calarca",2005,16.19
"419","ttdiesti",8,"caldas",358,"marmato",2005,21.03
"420","ttdiesti",15,"guainia",NA,"mapiripana ",2005,38.85
"421","ttdiesti",2,"antioquia",25,"belmira",2005,23.07
"422","pcrparin",6,"boyaca",277,"samaca",2005,96.05
"423","pcrparin",8,"caldas",356,"manizales",2005,99.49
"424","pcrparin",21,"narino",751,"ospina",2005,73.96
"425","ttdiesti",14,"cundinamarca",498,"bojaca",2005,15.52
"426","caelacex",5,"bolivar",NA,NA,2005,NA
"427","ttdiesti",27,"santander",914,"palmas del socorro",2005,26.47
"428","ttdiesti",16,"guaviare",250,"miraflores",2005,49.3
"429","pcrparin",4,"atlantico",147,"malambo",2005,99.59
"430","pcrparin",13,"choco",365,"riosucio",2005,72.86
"431","pcrparin",27,"santander",1026,"el cerrito",2005,98.95
"432","ttdiesti",20,"meta",NA,"cubarral",2005,22.47
"433","ttdiesti",29,"tolima",982,"flandes",2005,14.07
"434","ttdiesti",6,"boyaca",227,"cubara",2005,30.39
"435","pcrparin",6,"boyaca",233,"floresta",2005,95.12
"436","pcrparin",14,"cundinamarca",507,"chipaque",2005,98.37
"437","pcrparin",25,"risaralda",850,"santa rosa de cabal",2005,98.69
"438","ttdiesti",21,"narino",729,"el tablon de gomez",2005,22.36
"439","ttdiesti",12,"cesar",455,"gamarra",2005,20.53
