"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"4101","ttdiesti",5,"bolivar",185,"san jacinto",2006,29.71
"4102","ctrmormt",3,"arauca",NA,NA,2006,2
"4103","ttdiesti",27,"santander",904,"malaga",2006,16.94
"4104","pcrparin",10,"casanare",391,"la salina",2006,88.24
"4105","pcrparin",2,"antioquia",34,"caldas",2006,99.79
"4106","pcrparin",20,"meta",687,"cumaral",2006,96.32
"4107","pcrparin",20,"meta",697,"mapiripan",2006,93.15
"4108","ttdiesti",2,"antioquia",107,"san vicente",2006,16.41
"4109","pcrparin",29,"tolima",993,"natagaima",2006,81.28
"4110","pbretaia",28,"sucre",NA,NA,2006,NA
"4111","ttdnesti",6,"boyaca",NA,NA,2006,29.47773861
"4112","pcrparin",14,"cundinamarca",593,"utica",2006,100
"4113","caelacex",21,"narino",NA,NA,2006,NA
"4114","pcrparin",21,"narino",746,"los andes",2006,96.17
"4115","pcrparin",2,"antioquia",63,"guatape",2006,100
"4116","pbepredg",32,"vichada",NA,NA,2006,NA
"4117","ttdiesti",6,"boyaca",279,"san jose de pare",2006,25.16
"4118","pcrparin",27,"santander",921,"sabana de torres",2006,88.36
"4119","pcrperca",4,"atlantico",NA,NA,2006,99.00919331
"4120","pcrparin",2,"antioquia",70,"la ceja",2006,99.63
"4121","pcrparin",2,"antioquia",21,"argelia",2006,98.36
"4122","ttdiesti",27,"santander",907,"mogotes",2006,23.41
"4123","pcrparin",11,"cauca",441,"timbio",2006,99.38
"4124","ttdiesti",20,"meta",383,"puerto rico",2006,32.35
"4125","pcrparin",11,"cauca",180,"morales",2006,81.43
"4126","ttdiesti",20,"meta",705,"san carlos de guaroa",2006,28.96
"4127","ttdiesti",6,"boyaca",285,"santa rosa de viterbo",2006,15.3
"4128","ttdiesti",2,"antioquia",10,"abriaqui",2006,18.42
"4129","pcrparin",6,"boyaca",34,"caldas",2006,100
"4130","pcrparin",5,"bolivar",166,"barranco de loba",2006,91.51
"4131","ttdiesti",2,"antioquia",104,"san pedro de uraba",2006,35.43
"4132","ttdiesti",14,"cundinamarca",552,"pacho",2006,14.01
"4133","pcrparin",20,"meta",701,"puerto lopez",2006,89.27
"4134","ttdiesti",6,"boyaca",209,"busbanza",2006,30.53
"4135","pcrparin",29,"tolima",970,"armero",2006,95.58
"4136","ttdiesti",13,"choco",NA,"carmen del darien",2006,54.19
"4137","pcrparin",14,"cundinamarca",546,"mosquera",2006,99.46
"4138","ttdiesti",6,"boyaca",269,"pisba",2006,34.7
"4139","ttdiesti",13,"choco",479,"istmina",2006,60.9
"4140","pcrparin",24,"quindio",836,"quimbaya",2006,98.85
"4141","ttdiesti",14,"cundinamarca",567,"san juan de rio seco",2006,14.07
"4142","pcrparin",11,"cauca",415,"corinto",2006,97.63
"4143","pcrparin",14,"cundinamarca",556,"pasca",2006,100
"4144","pcrparin",14,"cundinamarca",502,"cajica",2006,99.34
"4145","pcrparin",6,"boyaca",253,"moniquira",2006,97.24
"4146","pcrparin",12,"cesar",452,"curumani",2006,97.33
"4147","pbepredg",10,"casanare",NA,NA,2006,NA
"4148","pcrparin",13,"choco",476,"el canton del san pablo",2006,89.58
"4149","pcrparin",13,"choco",471,"bagado",2006,100
"4150","caelacex",28,"sucre",NA,NA,2006,NA
"4151","pcrparin",4,"atlantico",157,"santa lucia",2006,99.31
"4152","pcrparin",11,"cauca",433,"purace",2006,81.73
"4153","pcrparin",7,"cordoba",NA,"tuchin",2006,NA
"4154","pcrparin",5,"bolivar",188,"san pablo",2006,96.27
"4155","ttdiesti",12,"cesar",467,"tamalameque",2006,34.69
"4156","pcrparin",19,"magdalena",NA,"zapayan",2006,87.5
"4157","ttdiesti",30,"valle del cauca",1040,"riofrio",2006,16.97
"4158","pcrrncpn",23,"putumayo",NA,NA,2006,74.59
"4159","ttdiesti",2,"antioquia",50,"el bagre",2006,21.82
"4160","ttdiesti",7,"cordoba",NA,"san andres sotavento (1)",2006,40.39
