"";"idindicador";"iddepto";"nomdepto";"idmpio";"nommpio";"year";"idindicador"
"3099";"rtrmorpu";17;"caldas";NA;NA;"2006";83,18
"3100";"ttdiesti";68;"santander";68217;"coromoro";"2006";24,57
"3101";"ttdiesti";5;"antioquia";5266;"envigado";"2006";7,79
"3102";"pbehtaco";23;"cordoba";NA;NA;"2006";NA
"3103";"rtrmorpu";97;"vaupes";NA;NA;"2006";349,04
"3104";"ttdiesti";15;"boyaca";15135;"campohermoso";"2006";21,9
"3105";"ttdiesti";25;"cundinamarca";NA;NA;"2006";15,1302714
"3106";"pcrparin";68;"santander";68770;"suaita";"2006";99,38
"3107";"pcrparin";15;"boyaca";15001;"tunja";"2006";99,77
"3108";"ctrmormt";91;"amazonas";NA;NA;"2006";0
"3109";"pcrparin";25;"cundinamarca";25862;"vergara";"2006";94,79
"3110";"ptrldeng";70;"sucre";NA;NA;"2006";NA
"3111";"pcrparin";63;"quindio";63212;"cordoba";"2006";98,72
"3112";"ttdiesti";85;"casanare";85015;"chameza";"2006";27,21
"3113";"ptrldeng";81;"arauca";NA;NA;"2006";NA
"3114";"pcrparin";68;"santander";68418;"los santos";"2006";96,73
"3115";"ttdiesti";41;"huila";41244;"elias";"2006";19,28
"3116";"ttdiesti";52;"narino";52788;"tangua";"2006";25,6
"3117";"ttdiesti";47;"magdalena";47053;"aracataca";"2006";20,3
"3118";"ptrldeng";68;"santander";NA;NA;"2006";NA
"3119";"pcrparin";41;"huila";41551;"pitalito";"2006";94,02
"3120";"ttdiesti";8;"atlantico";8770;"suan";"2006";19,89
"3121";"ttdiesti";44;"la guajira";44560;"manaure";"2006";54,38
"3122";"pcrparin";15;"boyaca";15522;"panqueba";"2006";100
"3123";"pgeembar";8;"atlantico";NA;NA;"2006";NA
"3124";"ttdnesti";76;"vaupes";NA;NA;"2006";NA
"3125";"ttdiesti";5;"antioquia";5647;"san andres de cuerquia";"2006";19,04
"3126";"ttdiesti";15;"boyaca";15362;"iza";"2006";15,76
"3127";"ttdiesti";25;"cundinamarca";25398;"la pena";"2006";24,98
"3128";"ttdiesti";5;"antioquia";5890;"yolombo";"2006";17,83
"3129";"ttdiesti";47;"magdalena";47692;"san sebastian de buenavista";"2006";16,33
"3130";"pcrparin";18;"caqueta";18256;"el paujil";"2006";98,93
"3131";"ttdiesti";52;"narino";52687;"san lorenzo";"2006";22,74
"3132";"ttdiesti";20;"cesar";20045;"becerril";"2006";26,34
"3133";"pcrparin";25;"cundinamarca";25288;"fuquene";"2006";100
"3134";"pcrparin";76;"valle del cauca";76834;"tulua";"2006";99,58
"3135";"ttdiesti";76;"valle del cauca";76147;"cartago";"2006";15,76
"3136";"ttdiesti";44;"la guajira";44855;"urumita";"2006";16,15
"3137";"ttdiesti";41;"huila";41483;"nataga";"2006";20,3
"3138";"pcrparin";73;"tolima";NA;NA;"2006";94,27919628
"3139";"ttdiesti";5;"antioquia";5615;"rionegro";"2006";9,98
"3140";"ttdiesti";47;"magdalena";47745;"sitionuevo";"2006";32,88
"3141";"pcrparin";50;"meta";50568;"puerto gaitan";"2006";66,57
"3142";"pcrparin";25;"cundinamarca";25148;"caparrapi";"2006";97,93
"3143";"pcrparin";25;"cundinamarca";25736;"sesquile";"2006";98,81
"3144";"ctrmormt";88;"san andres";NA;NA;"2006";1
"3145";"pcrparin";85;"casanare";85279;"recetor";"2006";100
"3146";"pcrparin";20;"cesar";NA;NA;"2006";94,51412159
"3147";"pcrparin";23;"cordoba";23586;"purisima";"2006";99,57
"3148";"pcrparin";15;"boyaca";15272;"firavitoba";"2006";98,67
"3149";"ttdiesti";5;"antioquia";5059;"armenia";"2006";20,51
"3150";"pcrparin";25;"cundinamarca";25307;"girardot";"2006";99,74
"3151";"ttdiesti";27;"choco";NA;NA;"2006";48,24041212
"3152";"ttdiesti";68;"santander";68211;"contratacion";"2006";20,22
"3153";"pcrparin";5;"antioquia";5842;"uramita";"2006";89,71
"3154";"pcrparin";41;"huila";NA;NA;"2006";93,82033187
"3155";"ttdiesti";66;"risaralda";66400;"la virginia";"2006";18,79
"3156";"pcrparin";41;"huila";41349;"hobo";"2006";95,28
"3157";"ttdiesti";18;"caqueta";18460;"milan";"2006";31,21
"3158";"pcrparin";25;"cundinamarca";25168;"chaguani";"2006";100
"3159";"ttdiesti";50;"meta";50270;"el dorado";"2006";24,14
"3160";"ptrldeng";17;"caldas";NA;NA;"2006";NA
"3161";"ttdiesti";50;"meta";50568;"puerto gaitan";"2006";61,35
"3162";"pcrperca";76;"valle del cauca";NA;NA;"2006";98,78372438
"3163";"pcrparin";70;"sucre";70204;"coloso";"2006";99,07
"3164";"pcrrncpn";20;"cesar";NA;NA;"2006";83,33
"3165";"pcrparin";15;"boyaca";15621;"rondon";"2006";87,23
"3166";"pcrparin";15;"boyaca";15212;"coper";"2006";94,23
"3167";"ttdiesti";52;"narino";52256;"el rosario";"2006";33,22
"3168";"ctrmormt";85;"casanare";NA;NA;"2006";3
"3169";"ttdiesti";73;"tolima";73152;"casabianca";"2006";24,04
"3170";"pcrparin";66;"risaralda";66594;"quinchia";"2006";92,56
"3171";"ptrldeng";99;"vichada";NA;NA;"2006";NA
"3172";"pcrparin";25;"cundinamarca";25317;"guacheta";"2006";99,15
"3173";"pcrparin";5;"antioquia";5686;"santa rosa de osos";"2006";99,39
"3174";"pcrparin";91;"amazonas";91669;"puerto santander";"2006";100
"3175";"ttdiesti";27;"choco";27745;"sipi";"2006";29,44
"3176";"pbehtaco";20;"cesar";NA;NA;"2006";NA
"3177";"pcrperca";17;"caldas";NA;NA;"2006";97,50453721
"3178";"pcrparin";25;"cundinamarca";25335;"guayabetal";"2006";100
"3179";"ttdiesti";27;"choco";27413;"lloro";"2006";60,96
"3180";"pcrparin";68;"santander";68397;"la paz";"2006";86,11
"3181";"pgeembar";20;"cesar";NA;NA;"2006";NA
"3182";"ttdiesti";99;"vichada";99773;"cumaribo";"2006";48,86
"3183";"pcrparin";8;"atlantico";8549;"piojo";"2006";80,7
"3184";"ttdiesti";41;"huila";41359;"isnos";"2006";25,6
"3185";"pcrparin";15;"boyaca";15480;"muzo";"2006";97,33
"3186";"igrtgfec";27;"choco";NA;NA;"2006";NA
"3187";"ttdiesti";68;"santander";68318;"guaca";"2006";21,71
"3188";"caelacex";91;"amazonas";NA;NA;"2006";NA
"3189";"ttdiesti";73;"tolima";73873;"villarrica";"2006";25,88
"3190";"ctrmormt";52;"narino";NA;NA;"2006";17
"3191";"cgrnacim";63;"quindio";NA;NA;"2006";22074
"3192";"ttdiesti";25;"cundinamarca";25841;"ubaque";"2006";14,92
"3193";"ttdiesti";18;"caqueta";18479;"morelia";"2006";21,69
"3194";"ttdiesti";25;"cundinamarca";25875;"villeta";"2006";16,16
"3195";"pgeembar";94;"guainia";NA;NA;"2006";NA
"3196";"pcrparin";70;"sucre";70124;"caimito";"2006";98,94
"3197";"ttdiesti";19;"cauca";19450;"mercaderes";"2006";23,31
"3198";"pcrrncpn";88;"san andres";NA;NA;"2006";94,79
"3199";"pcrparin";13;"bolivar";13300;"hatillo de loba";"2006";99,29
"3200";"ttdiesti";54;"n.santander";54520;"pamplonita";"2006";12,11
"3201";"pbehtaco";85;"casanare";NA;NA;"2006";NA
"3202";"ttdiesti";13;"bolivar";13667;"san martin de loba";"2006";35,51
"3203";"pcrparin";68;"santander";68179;"chipata";"2006";98,44
"3204";"ttdiesti";81;"arauca";81220;"cravo norte";"2006";35,16
"3205";"pcrparin";99;"vichada";99524;"la primavera";"2006";87,5
"3206";"pcrparin";25;"cundinamarca";25781;"sutatausa";"2006";98,96
"3207";"ttdiesti";52;"narino";52490;"olaya herrera";"2006";32,61
"3208";"ttdiesti";73;"tolima";73563;"prado";"2006";22,34
"3209";"ttdiesti";25;"cundinamarca";25317;"guacheta";"2006";18,4
"3210";"pcrparin";8;"atlantico";8137;"campo de la cruz";"2006";99,15
"3211";"ptrldeng";52;"narino";NA;NA;"2006";NA
"3212";"ttdiesti";54;"n.santander";54480;"mutiscua";"2006";17,71
"3213";"ttdiesti";8;"atlantico";8558;"polonuevo";"2006";24,31
"3214";"ttdiesti";68;"santander";68533;"paramo";"2006";15,72
"3215";"ttdiesti";17;"caldas";17088;"belalcazar";"2006";18,35
"3216";"pcrparin";63;"quindio";NA;NA;"2006";98,71668312
"3217";"ttdiesti";52;"narino";52051;"arboleda";"2006";31,95
"3218";"pcrparin";73;"tolima";73026;"alvarado";"2006";84,21
"3219";"pcrparin";81;"arauca";81065;"arauquita";"2006";74,45
"3220";"pcrparin";76;"valle del cauca";76246;"el cairo";"2006";99,06
"3221";"pcrparin";73;"tolima";73226;"cunday";"2006";86,49
"3222";"pbretaia";47;"magdalena";NA;NA;"2006";NA
"3223";"ttdiesti";70;"sucre";70508;"ovejas";"2006";29,83
"3224";"pbrmivih";8;"atlantico";NA;NA;"2006";NA
"3225";"pcrparin";73;"tolima";73622;"roncesvalles";"2006";80,99
"3226";"pbretaia";17;"caldas";NA;NA;"2006";NA
"3227";"ttdnesti";18;"caqueta";NA;NA;"2006";48,35794142
"3228";"ttdiesti";15;"boyaca";15667;"san luis de gaceno";"2006";19,13
"3229";"pbepredc";66;"risaralda";NA;NA;"2006";NA
"3230";"pcrparin";15;"boyaca";15533;"paya";"2006";93,33
"3231";"ttdiesti";88;"san andres";NA;NA;"2006";17,32463704
"3232";"ttdiesti";63;"quindio";63130;"calarca";"2006";15,7
"3233";"ttdiesti";17;"caldas";17442;"marmato";"2006";20,4
"3234";"ttdiesti";94;"guainia";94663;"mapiripana *";"2006";38,85
"3235";"ttdiesti";5;"antioquia";5086;"belmira";"2006";22,56
"3236";"pcrparin";15;"boyaca";15646;"samaca";"2006";96,53
"3237";"pcrparin";17;"caldas";17001;"manizales";"2006";99,55
"3238";"pcrparin";52;"narino";52506;"ospina";"2006";86,49
"3239";"ttdiesti";25;"cundinamarca";25099;"bojaca";"2006";15,35
"3240";"caelacex";13;"bolivar";NA;NA;"2006";NA
"3241";"ttdiesti";68;"santander";68524;"palmas del socorro";"2006";25,92
"3242";"ttdiesti";95;"guaviare";95200;"miraflores";"2006";49,3
"3243";"pcrparin";8;"atlantico";8433;"malambo";"2006";99,66
"3244";"pcrparin";27;"choco";27615;"riosucio";"2006";82,33
"3245";"pcrparin";68;"santander";68162;"el cerrito";"2006";100
"3246";"ttdiesti";50;"meta";50223;"cubarral";"2006";21,97
"3247";"ttdiesti";73;"tolima";73275;"flandes";"2006";14,07
"3248";"ttdiesti";15;"boyaca";15223;"cubara";"2006";29,31
"3249";"pcrparin";15;"boyaca";15276;"floresta";"2006";95,24
"3250";"pcrparin";25;"cundinamarca";25178;"chipaque";"2006";100
"3251";"pcrparin";66;"risaralda";66682;"santa rosa de cabal";"2006";99,4
"3252";"ttdiesti";52;"narino";52258;"el tablon de gomez";"2006";21,86
"3253";"ttdiesti";20;"cesar";20295;"gamarra";"2006";20,07
"3254";"pbehtaco";50;"meta";NA;NA;"2006";NA
"3255";"ttdiesti";73;"tolima";73030;"ambalema";"2006";15,63
"3256";"igrtgfec";54;"n.santander";NA;NA;"2006";NA
"3257";"ttdiesti";5;"antioquia";5667;"san rafael";"2006";18,24
"3258";"pbepredg";91;"amazonas";NA;NA;"2006";NA
"3259";"pcrparin";70;"sucre";70265;"guaranda";"2006";99,15
"3260";"pcrparin";20;"cesar";20517;"pailitas";"2006";99,72
"3261";"ttdiesti";94;"guainia";94888;"morichal *";"2006";82,8
"3262";"ttdnesti";95;"guaviare";NA;NA;"2006";NA
"3263";"pbehtaco";97;"vaupes";NA;NA;"2006";NA
"3264";"pcrparin";19;"cauca";19392;"la sierra";"2006";94,81
"3265";"pcrparin";68;"santander";68276;"floridablanca";"2006";99,58
"3266";"pcrparin";41;"huila";41078;"baraya";"2006";82,12
"3267";"ttdiesti";41;"huila";41013;"agrado";"2006";23,51
"3268";"ttdiesti";5;"antioquia";5628;"sabanalarga";"2006";24,81
"3269";"pcrparin";25;"cundinamarca";25123;"cachipay";"2006";99,15
"3270";"pcrparin";73;"tolima";73030;"ambalema";"2006";99,02
"3271";"ttdiesti";68;"santander";68207;"concepcion";"2006";24,98
"3272";"pcrparin";68;"santander";68406;"lebrija";"2006";90,27
"3273";"ttdiesti";66;"risaralda";66170;"dosquebradas";"2006";15,44
"3274";"pcrparin";68;"santander";68533;"paramo";"2006";96,97
"3275";"ttdiesti";19;"cauca";19532;"patia";"2006";20,97
"3276";"ttdiesti";66;"risaralda";66687;"santuario";"2006";18,57
"3277";"pcrparin";15;"boyaca";15686;"santana";"2006";98,55
"3278";"rgrtgfec";44;"la guajira";NA;NA;"2006";NA
"3279";"pcrparin";17;"caldas";17653;"salamina";"2006";98,41
"3280";"ttdiesti";52;"narino";52079;"barbacoas";"2006";34,06
"3281";"pcrparin";27;"choco";27001;"quibdo";"2006";98,3
"3282";"ttdiesti";41;"huila";41770;"suaza";"2006";22,82
"3283";"ttdiesti";73;"tolima";73268;"espinal";"2006";18,24
"3284";"ttdiesti";15;"boyaca";15407;"villa de leyva";"2006";15,19
"3285";"pbehtaco";88;"san andres";NA;NA;"2006";NA
"3286";"pcrparin";5;"antioquia";5837;"turbo";"2006";93,27
"3287";"ttdiesti";13;"bolivar";13873;"villanueva";"2006";37,65
"3288";"pcrparin";5;"antioquia";5679;"santa barbara";"2006";98,13
"3289";"ttdiesti";20;"cesar";20310;"gonzalez";"2006";21,98
"3290";"ttdiesti";68;"santander";68101;"bolivar";"2006";40,03
"3291";"pcrparin";5;"antioquia";5885;"yali";"2006";96,55
"3292";"ttdiesti";76;"valle del cauca";76670;"san pedro";"2006";15,98
"3293";"pcrparin";5;"antioquia";5579;"puerto berrio";"2006";96,65
"3294";"ttdiesti";5;"antioquia";NA;NA;"2006";16,53208621
"3295";"ttdiesti";76;"valle del cauca";76250;"el dovio";"2006";21,09
"3296";"pcrparin";41;"huila";41770;"suaza";"2006";89,61
"3297";"pcrparin";52;"narino";52473;"mosquera";"2006";80,67
"3298";"pgeembar";63;"quindio";NA;NA;"2006";NA
"3299";"pcrrncpn";18;"caqueta";NA;NA;"2006";72,47
"3300";"pbepredc";47;"magdalena";NA;NA;"2006";NA
"3301";"pcrparin";25;"cundinamarca";25506;"venecia";"2006";97,37
"3302";"rgrtgfec";50;"meta";NA;NA;"2006";NA
"3303";"ttdiesti";27;"choco";27245;"el carmen de atrato";"2006";31,08
"3304";"ttdiesti";85;"casanare";85001;"yopal";"2006";19,69
"3305";"ttdiesti";68;"santander";68344;"hato";"2006";23,96
"3306";"ttdiesti";66;"risaralda";66045;"apia";"2006";22,03
"3307";"ttdiesti";73;"tolima";73616;"rioblanco";"2006";33,93
"3308";"ttdiesti";54;"n.santander";54743;"silos";"2006";20,22
"3309";"ttdiesti";54;"n.santander";54239;"durania";"2006";13,03
"3310";"ttdiesti";86;"putumayo";86219;"colon";"2006";19,55
"3311";"ttdiesti";68;"santander";68370;"jordan";"2006";32,36
"3312";"rtrmorpu";25;"cundinamarca";NA;NA;"2006";80,1
"3313";"ttdiesti";18;"caqueta";18753;"san vicente del caguan";"2006";25,27
"3314";"ttdiesti";15;"boyaca";15762;"sora";"2006";23,35
"3315";"rtrmorpu";52;"narino";NA;NA;"2006";75,9
"3316";"pcrparin";17;"caldas";17877;"viterbo";"2006";98,53
"3317";"ttdiesti";54;"n.santander";54660;"salazar";"2006";13,42
"3318";"pcrparin";86;"putumayo";86568;"puerto asis";"2006";90,92
"3319";"pbehtaco";8;"atlantico";NA;NA;"2006";NA
"3320";"ttdiesti";73;"tolima";73504;"ortega";"2006";35,72
"3321";"ttdiesti";50;"meta";50226;"cumaral";"2006";23,47
"3322";"ttdiesti";23;"cordoba";23574;"puerto escondido";"2006";35,04
"3323";"ttdiesti";15;"boyaca";15401;"la victoria";"2006";19,2
"3324";"ttdiesti";19;"cauca";19364;"jambalo";"2006";28,07
"3325";"ttdiesti";44;"la guajira";44430;"maicao";"2006";31,23
"3326";"ttdiesti";68;"santander";68079;"barichara";"2006";16,6
"3327";"pcrparin";15;"boyaca";15162;"cerinza";"2006";96,72
"3328";"pcrparin";18;"caqueta";18150;"cartagena del chaira";"2006";97,21
"3329";"ttdiesti";68;"santander";68209;"confines";"2006";20,09
"3330";"cgrnacim";86;"putumayo";NA;NA;"2006";6069
"3331";"igrtgfec";66;"risaralda";NA;NA;"2006";NA
"3332";"ttdiesti";41;"huila";41378;"la argentina";"2006";20,19
"3333";"ttdiesti";76;"valle del cauca";76403;"la victoria";"2006";15,2
"3334";"ttdiesti";5;"antioquia";5282;"fredonia";"2006";15,24
"3335";"ttdiesti";13;"bolivar";13160;"cantagallo";"2006";18,86
"3336";"ttdiesti";25;"cundinamarca";25377;"la calera";"2006";13,03
"3337";"ttdiesti";25;"cundinamarca";25483;"narino";"2006";19,11
"3338";"ttdiesti";19;"cauca";19300;"guachene(1)";"2006";27,78
"3339";"pbrmivih";5;"antioquia";NA;NA;"2006";NA
"3340";"ttdiesti";73;"tolima";NA;NA;"2006";20,6435558
"3341";"ttdiesti";23;"cordoba";23586;"purisima";"2006";23,63
"3342";"pcrparin";15;"boyaca";15842;"umbita";"2006";93,33
"3343";"pcrparin";5;"antioquia";5120;"caceres";"2006";97,17
"3344";"rgrtgfec";20;"cesar";NA;NA;"2006";NA
"3345";"pcrparin";25;"cundinamarca";25772;"suesca";"2006";97,73
"3346";"ttdiesti";15;"boyaca";15763;"sotaquira";"2006";18,73
"3347";"pgeembar";66;"risaralda";NA;NA;"2006";NA
"3348";"ttdiesti";13;"bolivar";NA;NA;"2006";23,46598006
"3349";"pbepredc";95;"guaviare";NA;NA;"2006";NA
"3350";"pcrparin";5;"antioquia";5659;"san juan de uraba";"2006";94,44
"3351";"pcrparin";27;"choco";27075;"bahia solano";"2006";91,67
"3352";"pbrmivih";81;"arauca";NA;NA;"2006";NA
"3353";"pcrparin";47;"magdalena";47058;"ariguani";"2006";100
"3354";"ttdiesti";70;"sucre";70235;"galeras";"2006";26,06
"3355";"pcrparin";54;"n.santander";NA;NA;"2006";96,20367854
"3356";"ttdiesti";5;"antioquia";5212;"copacabana";"2006";9,8
"3357";"ctrmormt";13;"bolivar";NA;NA;"2006";29
"3358";"pcrparin";25;"cundinamarca";25799;"tenjo";"2006";99,64
"3359";"ttdiesti";5;"antioquia";5837;"turbo";"2006";25,29
"3360";"ttdiesti";5;"antioquia";5483;"narino";"2006";19,7
"3361";"ttdiesti";5;"antioquia";5038;"angostura";"2006";30,79
"3362";"ttdiesti";91;"amazonas";91798;"tarapaca *";"2006";41,53
"3363";"ctrmormt";8;"atlantico";NA;NA;"2006";30
"3364";"ttdiesti";70;"sucre";70523;"palmito";"2006";20,54
"3365";"pcrparin";68;"santander";68079;"barichara";"2006";96,52
"3366";"pcrparin";20;"cesar";20295;"gamarra";"2006";91,94
"3367";"ttdiesti";25;"cundinamarca";25328;"guayabal de siquima";"2006";14,94
"3368";"ctrmormt";50;"meta";NA;NA;"2006";11
"3369";"pcrparin";85;"casanare";85315;"sacama";"2006";80,95
"3370";"ttdiesti";68;"santander";68266;"enciso";"2006";22,03
"3371";"ttdiesti";68;"santander";68444;"matanza";"2006";16,5
"3372";"pbepredc";94;"guainia";NA;NA;"2006";NA
"3373";"ttdiesti";5;"antioquia";5591;"puerto triunfo";"2006";21,05
"3374";"pcrparin";97;"vaupes";97511;"pacoa";"2006";3,33
"3375";"ttdiesti";15;"boyaca";15090;"berbeo";"2006";17,43
"3376";"ttdiesti";85;"casanare";85279;"recetor";"2006";33,66
"3377";"pcrparin";52;"narino";52317;"guachucal";"2006";94,12
"3378";"ttdiesti";19;"cauca";19455;"miranda";"2006";18,38
"3379";"ttdiesti";25;"cundinamarca";25862;"vergara";"2006";25,47
"3380";"pcrparin";5;"antioquia";5501;"olaya";"2006";100
"3381";"pcrparin";23;"cordoba";23855;"valencia";"2006";97,74
"3382";"ttdiesti";5;"antioquia";5885;"yali";"2006";16,54
"3383";"ttdiesti";15;"boyaca";15516;"paipa";"2006";15,07
"3384";"ttdiesti";66;"risaralda";66001;"pereira";"2006";12,6
"3385";"pcrparin";68;"santander";68327;"guepsa";"2006";70,83
"3386";"pcrparin";54;"n.santander";54670;"san calixto";"2006";98,72
"3387";"ttdiesti";52;"narino";52287;"funes";"2006";27,13
"3388";"pcrparin";5;"antioquia";5154;"caucasia";"2006";99,3
"3389";"ttdiesti";54;"n.santander";54128;"cachira";"2006";12,36
"3390";"ttdiesti";17;"caldas";17513;"pacora";"2006";22,83
"3391";"rtrmorpu";19;"cauca";NA;NA;"2006";91,69
"3392";"pcrparin";70;"sucre";70215;"corozal";"2006";99,67
"3393";"ttdiesti";99;"vichada";99001;"puerto carreno";"2006";29,87
"3394";"ttdiesti";15;"boyaca";15299;"garagoa";"2006";19,12
"3395";"pcrparin";19;"cauca";19824;"totoro";"2006";51,29
"3396";"ttdiesti";15;"boyaca";15755;"socota";"2006";29,39
"3397";"pcrparin";50;"meta";50689;"san martin";"2006";95,93
"3398";"ttdiesti";73;"tolima";73461;"murillo";"2006";20,77
"3399";"pcrparin";50;"meta";50590;"puerto rico";"2006";88,48
"3400";"ttdiesti";27;"choco";27600;"rio quito";"2006";44,24
"3401";"ttdiesti";73;"tolima";73411;"libano";"2006";22,41
"3402";"ttdiesti";73;"tolima";73347;"herveo";"2006";16,54
"3403";"ttdiesti";25;"cundinamarca";25489;"nimaima";"2006";15,72
"3404";"pcrparin";15;"boyaca";15740;"siachoque";"2006";99,3
"3405";"ttdiesti";23;"cordoba";23350;"la apartada";"2006";27,85
"3406";"ttdiesti";13;"bolivar";13300;"hatillo de loba";"2006";32,39
"3407";"pcrparin";68;"santander";68121;"cabrera";"2006";100
"3408";"pcrparin";5;"antioquia";5059;"armenia";"2006";93,59
"3409";"pcrparin";13;"bolivar";13268;"el penon";"2006";92,59
"3410";"ttdiesti";68;"santander";68077;"barbosa";"2006";14,28
"3411";"ttdiesti";19;"cauca";19418;"lopez";"2006";27,98
"3412";"pcrparin";25;"cundinamarca";25867;"viani";"2006";100
"3413";"pcrperca";50;"meta";NA;NA;"2006";94,52825014
"3414";"ttdiesti";68;"santander";68895;"zapatoca";"2006";12,96
"3415";"pbretaia";44;"la guajira";NA;NA;"2006";NA
"3416";"pcrparin";5;"antioquia";5034;"andes";"2006";97,14
"3417";"ttdiesti";25;"cundinamarca";25524;"pandi";"2006";20,87
"3418";"pbretaia";52;"narino";NA;NA;"2006";NA
"3419";"pcrparin";15;"boyaca";15693;"santa rosa de viterbo";"2006";98,85
"3420";"ttdiesti";52;"narino";52110;"buesaco";"2006";21,11
"3421";"pcrparin";68;"santander";68820;"tona";"2006";96,97
"3422";"ttdiesti";47;"magdalena";47720;"santa barbara de pinto";"2006";20,08
"3423";"ttdiesti";68;"santander";68051;"aratoca";"2006";23,11
"3424";"ttdiesti";17;"caldas";17877;"viterbo";"2006";17,04
"3425";"ttdiesti";17;"caldas";17616;"risaralda";"2006";21,58
"3426";"pcrparin";13;"bolivar";13160;"cantagallo";"2006";97,3
"3427";"ttdiesti";76;"valle del cauca";76892;"yumbo";"2006";15,26
"3428";"cgrnacim";70;"sucre";NA;NA;"2006";32663
"3429";"igrtgfec";5;"antioquia";NA;NA;"2006";NA
"3430";"ttdiesti";50;"meta";50450;"puerto concordia";"2006";32,49
"3431";"pcrparin";25;"cundinamarca";25398;"la pena";"2006";98,28
"3432";"pcrparin";13;"bolivar";13838;"turbana";"2006";99,04
"3433";"ttdiesti";5;"antioquia";5055;"argelia";"2006";20,94
"3434";"ttdiesti";52;"narino";52435;"mallama";"2006";33,23
"3435";"ttdiesti";44;"la guajira";44420;"la jagua del pilar";"2006";22,91
"3436";"pcrparin";73;"tolima";73770;"suarez";"2006";98,04
"3437";"ttdiesti";76;"valle del cauca";76130;"candelaria";"2006";16,05
"3438";"ttdiesti";85;"casanare";85440;"villanueva";"2006";37,35
"3439";"ttdiesti";25;"cundinamarca";25518;"paime";"2006";29,37
"3440";"pcrparin";66;"risaralda";66318;"guatica";"2006";98,44
"3441";"ttdiesti";25;"cundinamarca";25843;"villa de san diego de ubate";"2006";13,06
"3442";"ttdiesti";18;"caqueta";18247;"el doncello";"2006";25,48
"3443";"pcrparin";15;"boyaca";15362;"iza";"2006";100
"3444";"pcrparin";8;"atlantico";8001;"barranquilla";"2006";99,4
"3445";"pcrparin";54;"n.santander";54743;"silos";"2006";96,34
"3446";"pcrparin";68;"santander";68176;"chima";"2006";93,18
"3447";"ttdiesti";41;"huila";41006;"acevedo";"2006";30,54
"3448";"pcrparin";19;"cauca";19130;"cajibio";"2006";73,78
"3449";"ttdiesti";54;"n.santander";54125;"cacota";"2006";28,34
"3450";"pcrparin";47;"magdalena";47318;"guamal";"2006";85,39
"3451";"pcrparin";70;"sucre";70001;"sincelejo";"2006";98,98
"3452";"pcrparin";8;"atlantico";8520;"palmar de varela";"2006";97,92
"3453";"ttdiesti";25;"cundinamarca";25040;"anolaima";"2006";16,96
"3454";"pcrparin";54;"n.santander";54003;"abrego";"2006";99,57
"3455";"pcrparin";41;"huila";41359;"isnos";"2006";97,73
"3456";"pcrparin";70;"sucre";70221;"covenas";"2006";99,53
"3457";"pcrparin";15;"boyaca";15550;"pisba";"2006";100
"3458";"ttdiesti";15;"boyaca";15215;"corrales";"2006";16,57
"3459";"pcrparin";52;"narino";52083;"belen";"2006";92,21
"3460";"ttdiesti";5;"antioquia";5154;"caucasia";"2006";21,09
"3461";"ttdiesti";13;"bolivar";13244;"el carmen de bolivar";"2006";33,22
"3462";"pcrparin";19;"cauca";19256;"el tambo";"2006";73,56
"3463";"pbrmivih";15;"boyaca";NA;NA;"2006";NA
"3464";"pbehtaco";19;"cauca";NA;NA;"2006";NA
"3465";"ttdiesti";20;"cesar";20011;"aguachica";"2006";21,77
"3466";"ttdiesti";94;"guainia";94884;"puerto colombia *";"2006";38,71
"3467";"pcrparin";13;"bolivar";13490;"norosi";"2006";NA
"3468";"ttdiesti";52;"narino";52520;"francisco pizarro";"2006";30,72
"3469";"pcrparin";63;"quindio";63302;"genova";"2006";99,2
"3470";"ttdiesti";52;"narino";52585;"pupiales";"2006";22,84
"3471";"cgrnacim";25;"cundinamarca";NA;NA;"2006";23635
"3472";"pcrparin";52;"narino";52227;"cumbal";"2006";86,92
"3473";"ttdiesti";94;"guainia";94883;"san felipe *";"2006";37,61
"3474";"ctrmormt";19;"cauca";NA;NA;"2006";17
"3475";"pgeembar";47;"magdalena";NA;NA;"2006";NA
"3476";"pcrparin";15;"boyaca";15638;"sachica";"2006";90,14
"3477";"ttdiesti";5;"antioquia";5051;"arboletes";"2006";26,04
"3478";"pcrparin";85;"casanare";85010;"aguazul";"2006";99,14
"3479";"rtrmorpu";99;"vichada";NA;NA;"2006";175,13
"3480";"pbepredg";15;"boyaca";NA;NA;"2006";NA
"3481";"rgrtgfec";52;"narino";NA;NA;"2006";NA
"3482";"ptrldeng";19;"cauca";NA;NA;"2006";NA
"3483";"pcrparin";54;"n.santander";54810;"tibu";"2006";98,83
"3484";"ttdiesti";47;"magdalena";47170;"chibolo";"2006";28,68
"3485";"ttdiesti";68;"santander";68020;"albania";"2006";27,22
"3486";"ttdiesti";5;"antioquia";5045;"apartado";"2006";14,41
"3487";"pcrparin";52;"narino";52678;"samaniego";"2006";94,99
"3488";"ttdiesti";27;"choco";27077;"bajo baudo";"2006";53,7
"3489";"caelacex";54;"n.santander";NA;NA;"2006";NA
"3490";"ttdiesti";94;"guainia";94001;"inirida";"2006";39,85
"3491";"ttdiesti";5;"antioquia";5659;"san juan de uraba";"2006";35,46
"3492";"ttdiesti";73;"tolima";73520;"palocabildo";"2006";28,3
"3493";"pbehtaco";63;"quindio";NA;NA;"2006";NA
